drug_name,drug_class,indications,side_effects,side_effect_severity,approval_status
Serocillin74,Antidepressant,Allergy relief,"Insomnia,Nausea,Dizziness",severe,Rejected
Serozole62,Antifungal,Depression treatment,"Constipation,Blurred vision,Fatigue",severe,Pending
Cefcillin14,Antibiotic,Viral infections,"Nausea,Fatigue,Rash",moderate,Rejected
Fenozepam50,Antidepressant,Allergy relief,Blurred vision,severe,Pending
Cefzepam45,Vaccine,Allergy relief,Dry mouth,moderate,Rejected
Viraxetine19,Antipsychotic,Bacterial infections,"Nausea,Blurred vision,Diarrhea",mild,Pending
Rivavir63,Anti-inflammatory,Pain relief,"Diarrhea,Headache,Nausea",mild,Approved
Mecodipine19,Antibiotic,Viral infections,"Diarrhea,Blurred vision,Nausea",moderate,Approved
Serozole59,Antipsychotic,Fungal infections,"Rash,Nausea,Dizziness",mild,Pending
Serocillin27,Vaccine,Pain relief,"Dry mouth,Dizziness,Constipation",mild,Approved
Loxovir11,Antipsychotic,Pain relief,"Dizziness,Fatigue",severe,Approved
Viravir99,Analgesic,Inflammation reduction,"Rash,Fatigue",mild,Approved
Fenozepam91,Antipyretic,Depression treatment,"Diarrhea,Insomnia,Headache",mild,Rejected
Amoxzepam33,Vaccine,Bacterial infections,"Constipation,Dizziness,Dry mouth",moderate,Pending
Amoxvir68,Anti-inflammatory,Prevent infectious disease,Fatigue,moderate,Pending
Amoxparin13,Vaccine,Inflammation reduction,"Headache,Diarrhea",mild,Approved
Daxovir24,Antifungal,Psychosis control,Dry mouth,mild,Approved
Rivaparin10,Antihistamine,Viral infections,"Nausea,Fatigue",severe,Rejected
Mecostatin40,Antidepressant,Allergy relief,Headache,mild,Pending
Cefdipine99,Antihistamine,Bacterial infections,Blurred vision,mild,Approved
Fenocillin39,Antibiotic,Viral infections,Rash,moderate,Approved
Daxoxetine11,Antipsychotic,Pain relief,"Rash,Constipation,Blurred vision",mild,Rejected
Fenostatin65,Anti-inflammatory,Allergy relief,Insomnia,severe,Pending
Rivaxetine79,Antibiotic,Bacterial infections,"Fatigue,Headache",mild,Rejected
Daxoxetine96,Analgesic,Inflammation reduction,Insomnia,moderate,Approved
Rivazepam81,Antibiotic,Fever reduction,"Dry mouth,Nausea",severe,Pending
Loxostatin46,Antipsychotic,Prevent infectious disease,Dizziness,mild,Pending
Daxocillin70,Analgesic,Pain relief,Fatigue,severe,Rejected
Daxozepam61,Antihistamine,Fungal infections,"Insomnia,Blurred vision",severe,Rejected
Rivaprofen24,Antifungal,Prevent infectious disease,Dizziness,mild,Pending
Mecozole28,Antidepressant,Bacterial infections,Constipation,moderate,Rejected
Daxoparin72,Antipyretic,Bacterial infections,Constipation,moderate,Approved
Virazepam82,Antibiotic,Psychosis control,Constipation,moderate,Rejected
Fenomab68,Antidepressant,Prevent infectious disease,Fatigue,severe,Rejected
Viraparin39,Vaccine,Pain relief,"Dry mouth,Insomnia,Fatigue",mild,Approved
Amoxvir93,Antiviral,Fungal infections,Dry mouth,moderate,Approved
Rivaparin56,Antidepressant,Psychosis control,Rash,moderate,Rejected
Rivaxetine29,Antifungal,Psychosis control,"Rash,Constipation",moderate,Approved
Daxoprofen42,Antipyretic,Fungal infections,"Headache,Dry mouth",mild,Pending
Rivaparin65,Antipyretic,Inflammation reduction,"Dry mouth,Constipation,Insomnia",moderate,Pending
Virastatin21,Antifungal,Pain relief,"Insomnia,Headache",moderate,Rejected
Cefcillin20,Antibiotic,Prevent infectious disease,"Diarrhea,Blurred vision,Dry mouth",mild,Approved
Cefparin47,Antihistamine,Fever reduction,"Fatigue,Rash,Dry mouth",mild,Pending
Loxovir13,Antiviral,Prevent infectious disease,Nausea,moderate,Rejected
Seroxetine80,Anti-inflammatory,Viral infections,"Dry mouth,Diarrhea,Rash",severe,Approved
Daxoparin14,Vaccine,Inflammation reduction,"Insomnia,Dizziness",mild,Approved
Rivacillin95,Antipsychotic,Fungal infections,Headache,mild,Approved
Loxocillin65,Vaccine,Pain relief,Dizziness,mild,Approved
Seroxetine61,Antiviral,Fungal infections,"Headache,Blurred vision,Dry mouth",moderate,Pending
Amoxzepam72,Antifungal,Pain relief,"Blurred vision,Dry mouth",moderate,Pending
Daxomab89,Anti-inflammatory,Fungal infections,Diarrhea,severe,Rejected
Rivavir82,Antibiotic,Bacterial infections,"Fatigue,Rash,Diarrhea",moderate,Approved
Seromab43,Antidepressant,Pain relief,Blurred vision,moderate,Approved
Rivazepam28,Antihistamine,Fungal infections,Diarrhea,severe,Pending
Viracillin42,Antihistamine,Fungal infections,"Fatigue,Diarrhea",moderate,Rejected
Amoxzole12,Antiviral,Psychosis control,"Insomnia,Nausea,Dry mouth",moderate,Pending
Viravir93,Antihistamine,Inflammation reduction,"Dry mouth,Fatigue,Dizziness",mild,Rejected
Loxodipine25,Anti-inflammatory,Depression treatment,Rash,mild,Rejected
Mecoprofen66,Analgesic,Fever reduction,"Rash,Headache,Diarrhea",severe,Rejected
Mecodipine47,Antibiotic,Pain relief,"Dry mouth,Headache",moderate,Pending
Seroxetine76,Antipsychotic,Pain relief,Dry mouth,severe,Pending
Fenoxetine25,Antipyretic,Viral infections,Headache,severe,Approved
Mecozepam73,Anti-inflammatory,Pain relief,Headache,mild,Rejected
Amoxxetine51,Antidepressant,Bacterial infections,Constipation,mild,Approved
Amoxcillin68,Antidepressant,Bacterial infections,"Nausea,Blurred vision",severe,Rejected
Serozepam56,Antifungal,Inflammation reduction,"Nausea,Constipation,Headache",moderate,Pending
Mecozepam53,Antibiotic,Fungal infections,"Rash,Headache,Diarrhea",mild,Pending
Cefxetine39,Antipsychotic,Viral infections,"Constipation,Dry mouth,Dizziness",severe,Pending
Seroparin13,Antifungal,Fungal infections,Rash,mild,Pending
Cefprofen72,Antipsychotic,Psychosis control,"Blurred vision,Nausea",moderate,Approved
Serostatin81,Antiviral,Inflammation reduction,"Blurred vision,Dizziness,Nausea",severe,Approved
Amoxvir92,Analgesic,Prevent infectious disease,Blurred vision,mild,Pending
Rivaxetine25,Antipyretic,Psychosis control,"Fatigue,Diarrhea",mild,Approved
Cefcillin28,Antifungal,Viral infections,Dry mouth,mild,Pending
Amoxmab95,Anti-inflammatory,Fever reduction,"Rash,Nausea,Constipation",mild,Rejected
Zylovir65,Antidepressant,Prevent infectious disease,"Nausea,Blurred vision",severe,Pending
Cefzepam59,Vaccine,Viral infections,Fatigue,mild,Pending
Rivazole96,Antiviral,Fungal infections,Nausea,mild,Pending
Cefparin26,Antiviral,Bacterial infections,"Headache,Nausea,Rash",moderate,Approved
Daxozole19,Vaccine,Depression treatment,Nausea,mild,Pending
Mecoprofen82,Anti-inflammatory,Depression treatment,Constipation,moderate,Approved
Daxozole45,Antibiotic,Pain relief,"Diarrhea,Constipation,Blurred vision",moderate,Rejected
Rivazepam60,Antipsychotic,Depression treatment,"Diarrhea,Rash",moderate,Rejected
Rivaxetine80,Antipyretic,Depression treatment,"Diarrhea,Constipation",moderate,Approved
Mecostatin56,Antipyretic,Viral infections,Blurred vision,mild,Pending
Loxovir33,Antibiotic,Fever reduction,"Rash,Insomnia,Dizziness",mild,Approved
Daxoxetine25,Antipyretic,Psychosis control,Fatigue,mild,Approved
Zylozepam11,Antifungal,Viral infections,"Diarrhea,Dizziness,Constipation",moderate,Rejected
Loxovir74,Vaccine,Bacterial infections,"Nausea,Rash,Constipation",severe,Approved
Daxoprofen78,Analgesic,Allergy relief,Nausea,mild,Pending
Mecocillin74,Analgesic,Viral infections,"Dry mouth,Dizziness",moderate,Approved
Rivavir90,Antibiotic,Viral infections,"Rash,Nausea",mild,Rejected
Viraparin59,Antifungal,Viral infections,"Insomnia,Headache,Diarrhea",severe,Rejected
Seroparin65,Antiviral,Viral infections,Diarrhea,moderate,Rejected
Amoxparin34,Antihistamine,Depression treatment,"Constipation,Dizziness",severe,Pending
Amoxprofen11,Antidepressant,Inflammation reduction,Blurred vision,moderate,Pending
Loxomab75,Antipsychotic,Inflammation reduction,"Fatigue,Blurred vision,Rash",moderate,Pending
Amoxxetine90,Antipyretic,Fungal infections,Diarrhea,mild,Approved
Cefparin36,Antiviral,Bacterial infections,Dizziness,moderate,Pending
Serocillin78,Analgesic,Inflammation reduction,"Diarrhea,Blurred vision",severe,Rejected
Fenocillin55,Antidepressant,Prevent infectious disease,"Dry mouth,Insomnia",mild,Pending
Fenodipine73,Antiviral,Viral infections,"Rash,Headache,Blurred vision",moderate,Pending
Mecocillin92,Antifungal,Fungal infections,"Dry mouth,Rash",mild,Approved
Rivavir37,Anti-inflammatory,Pain relief,Rash,moderate,Approved
Zylozepam43,Antifungal,Psychosis control,"Insomnia,Dizziness,Rash",severe,Pending
Serostatin53,Antipsychotic,Fungal infections,"Dry mouth,Insomnia",severe,Approved
Loxodipine47,Vaccine,Psychosis control,Rash,severe,Rejected
Daxovir41,Antipsychotic,Inflammation reduction,"Nausea,Insomnia",severe,Approved
Loxodipine83,Analgesic,Inflammation reduction,Dry mouth,moderate,Approved
Zylocillin21,Vaccine,Viral infections,"Dizziness,Dry mouth,Nausea",mild,Approved
Serocillin30,Anti-inflammatory,Allergy relief,"Headache,Constipation,Rash",mild,Approved
Viramab94,Antidepressant,Pain relief,"Headache,Blurred vision",moderate,Rejected
Zylovir49,Antidepressant,Bacterial infections,"Blurred vision,Dizziness,Nausea",mild,Rejected
Serodipine22,Vaccine,Prevent infectious disease,Diarrhea,moderate,Approved
Mecodipine45,Antipyretic,Bacterial infections,Headache,mild,Approved
Rivadipine65,Analgesic,Allergy relief,"Dizziness,Rash,Fatigue",mild,Pending
Cefcillin84,Analgesic,Viral infections,"Dizziness,Headache",severe,Pending
Rivadipine53,Antiviral,Prevent infectious disease,"Constipation,Diarrhea,Insomnia",moderate,Rejected
Virazole78,Antiviral,Viral infections,Diarrhea,moderate,Rejected
Loxoxetine52,Antidepressant,Allergy relief,Fatigue,moderate,Rejected
Rivadipine66,Antiviral,Allergy relief,"Rash,Dizziness",moderate,Pending
Cefxetine80,Vaccine,Prevent infectious disease,"Rash,Dizziness",moderate,Approved
Daxocillin78,Antipyretic,Allergy relief,"Blurred vision,Insomnia,Dry mouth",severe,Pending
Virastatin59,Antipsychotic,Viral infections,Diarrhea,severe,Rejected
Seromab81,Antipsychotic,Depression treatment,"Dizziness,Dry mouth,Headache",severe,Approved
Viraxetine49,Antipyretic,Depression treatment,Headache,moderate,Approved
Rivazepam15,Antiviral,Psychosis control,"Constipation,Headache,Fatigue",severe,Pending
Rivavir97,Vaccine,Bacterial infections,Headache,moderate,Pending
Amoxxetine63,Antidepressant,Inflammation reduction,Headache,mild,Approved
Amoxparin59,Antipsychotic,Bacterial infections,"Constipation,Headache",moderate,Pending
Amoxprofen96,Antibiotic,Inflammation reduction,"Nausea,Dizziness",moderate,Approved
Serodipine67,Anti-inflammatory,Psychosis control,Insomnia,severe,Approved
Amoxmab12,Antifungal,Allergy relief,Blurred vision,mild,Rejected
Cefstatin83,Vaccine,Inflammation reduction,"Dizziness,Dry mouth",mild,Approved
Fenoprofen20,Antiviral,Viral infections,Blurred vision,moderate,Rejected
Seroxetine74,Anti-inflammatory,Depression treatment,"Dry mouth,Nausea,Constipation",moderate,Rejected
Zyloparin27,Analgesic,Depression treatment,"Dizziness,Rash,Dry mouth",moderate,Pending
Daxovir47,Analgesic,Allergy relief,Blurred vision,mild,Pending
Cefzepam18,Vaccine,Viral infections,"Rash,Dry mouth",moderate,Rejected
Mecodipine13,Antipsychotic,Psychosis control,Diarrhea,severe,Approved
Mecoprofen87,Antipsychotic,Allergy relief,"Fatigue,Diarrhea,Dry mouth",severe,Approved
Rivazole45,Antihistamine,Fungal infections,Nausea,mild,Rejected
Mecostatin29,Anti-inflammatory,Fever reduction,"Dry mouth,Headache,Blurred vision",mild,Rejected
Viraxetine93,Antifungal,Inflammation reduction,"Constipation,Dry mouth,Headache",moderate,Approved
Rivamab76,Antihistamine,Depression treatment,"Rash,Fatigue,Insomnia",moderate,Approved
Daxostatin16,Antipyretic,Inflammation reduction,Headache,severe,Approved
Zyloprofen49,Antidepressant,Inflammation reduction,"Fatigue,Insomnia",mild,Approved
Fenodipine30,Antihistamine,Depression treatment,"Dizziness,Blurred vision,Nausea",severe,Rejected
Rivastatin62,Analgesic,Viral infections,"Headache,Dizziness",mild,Pending
Fenocillin17,Antipsychotic,Inflammation reduction,"Diarrhea,Constipation,Rash",severe,Rejected
Viracillin74,Antidepressant,Fever reduction,"Rash,Headache,Insomnia",moderate,Rejected
Viramab48,Anti-inflammatory,Fungal infections,Rash,moderate,Pending
Virazole10,Anti-inflammatory,Viral infections,Constipation,mild,Approved
Fenozole11,Vaccine,Psychosis control,Insomnia,mild,Approved
Fenoprofen96,Antibiotic,Prevent infectious disease,"Blurred vision,Insomnia,Fatigue",mild,Approved
Zylozepam70,Antihistamine,Psychosis control,Constipation,mild,Pending
Fenozole34,Anti-inflammatory,Bacterial infections,"Nausea,Blurred vision",mild,Approved
Amoxprofen51,Antidepressant,Inflammation reduction,"Headache,Fatigue",moderate,Pending
Viraxetine23,Antidepressant,Pain relief,"Fatigue,Diarrhea",severe,Rejected
Cefcillin77,Antihistamine,Pain relief,"Diarrhea,Nausea,Blurred vision",severe,Pending
Amoxmab86,Antiviral,Pain relief,"Dizziness,Constipation,Fatigue",severe,Pending
Virazepam11,Vaccine,Inflammation reduction,"Fatigue,Constipation,Rash",moderate,Rejected
Loxomab50,Anti-inflammatory,Viral infections,"Insomnia,Fatigue,Nausea",severe,Approved
Mecodipine38,Antihistamine,Fever reduction,"Fatigue,Nausea",severe,Rejected
Mecodipine85,Anti-inflammatory,Prevent infectious disease,"Fatigue,Constipation,Diarrhea",moderate,Rejected
Daxomab50,Antiviral,Fungal infections,"Blurred vision,Dry mouth,Insomnia",mild,Rejected
Cefparin99,Antidepressant,Pain relief,"Insomnia,Fatigue",mild,Rejected
Zylovir34,Antihistamine,Prevent infectious disease,"Nausea,Blurred vision",mild,Pending
Mecocillin79,Antipyretic,Fungal infections,Constipation,moderate,Rejected
Viraprofen58,Antiviral,Allergy relief,"Insomnia,Constipation",severe,Pending
Seromab41,Antihistamine,Psychosis control,Insomnia,moderate,Rejected
Zylocillin95,Anti-inflammatory,Fungal infections,"Headache,Dry mouth,Blurred vision",severe,Pending
Cefvir18,Antiviral,Inflammation reduction,"Dizziness,Dry mouth",moderate,Pending
Virazepam13,Vaccine,Viral infections,"Dry mouth,Constipation",moderate,Rejected
Mecocillin28,Antihistamine,Fungal infections,Diarrhea,mild,Rejected
Cefstatin14,Antipsychotic,Bacterial infections,"Dry mouth,Nausea,Fatigue",mild,Pending
Fenocillin66,Antidepressant,Depression treatment,"Insomnia,Fatigue",moderate,Pending
Daxoxetine14,Analgesic,Prevent infectious disease,"Fatigue,Dry mouth",moderate,Rejected
Seroparin54,Antipyretic,Depression treatment,"Rash,Diarrhea",mild,Rejected
Zyloprofen51,Analgesic,Fever reduction,"Insomnia,Constipation",mild,Pending
Virastatin58,Antiviral,Depression treatment,"Rash,Constipation,Headache",mild,Approved
Loxoparin46,Antidepressant,Depression treatment,Headache,moderate,Rejected
Fenoxetine54,Antifungal,Fungal infections,"Dizziness,Nausea,Insomnia",severe,Pending
Cefmab70,Antiviral,Viral infections,"Nausea,Rash",severe,Approved
Loxozole36,Vaccine,Depression treatment,"Dry mouth,Fatigue",severe,Pending
Rivamab24,Antifungal,Depression treatment,"Rash,Constipation,Fatigue",mild,Approved
Daxozepam71,Antihistamine,Allergy relief,"Headache,Blurred vision,Nausea",severe,Approved
Fenovir49,Analgesic,Fungal infections,"Headache,Fatigue",mild,Approved
Mecoxetine61,Antihistamine,Pain relief,"Dizziness,Nausea,Blurred vision",severe,Approved
Amoxzole29,Antihistamine,Pain relief,"Fatigue,Nausea",mild,Rejected
Amoxparin89,Antipsychotic,Prevent infectious disease,"Rash,Dizziness",mild,Approved
Fenocillin45,Antiviral,Inflammation reduction,Headache,mild,Pending
Cefvir69,Antibiotic,Depression treatment,Dry mouth,mild,Approved
Rivadipine41,Antidepressant,Pain relief,Diarrhea,moderate,Rejected
Rivaparin92,Antiviral,Pain relief,"Dizziness,Blurred vision",mild,Approved
Serovir89,Antifungal,Prevent infectious disease,"Dry mouth,Diarrhea,Blurred vision",moderate,Approved
Amoxdipine80,Vaccine,Depression treatment,Insomnia,mild,Rejected
Rivacillin75,Antipyretic,Pain relief,"Headache,Blurred vision",severe,Rejected
Zylozole89,Antihistamine,Psychosis control,"Fatigue,Dizziness",moderate,Rejected
Cefmab21,Antibiotic,Inflammation reduction,"Dizziness,Constipation,Nausea",mild,Rejected
Zylozole82,Antipsychotic,Pain relief,Rash,severe,Approved
Daxozole29,Antipyretic,Bacterial infections,"Blurred vision,Fatigue",mild,Pending
Viraxetine58,Vaccine,Psychosis control,Fatigue,moderate,Approved
Mecomab65,Analgesic,Pain relief,"Constipation,Insomnia,Nausea",severe,Pending
Zyloparin37,Antidepressant,Pain relief,"Fatigue,Constipation",severe,Pending
Serovir59,Vaccine,Depression treatment,Nausea,severe,Pending
Zyloprofen19,Vaccine,Pain relief,"Headache,Diarrhea,Blurred vision",moderate,Approved
Mecoparin30,Analgesic,Bacterial infections,"Dizziness,Blurred vision,Diarrhea",severe,Pending
Loxoprofen85,Antibiotic,Fever reduction,Headache,severe,Rejected
Serovir80,Antihistamine,Allergy relief,Dizziness,moderate,Pending
Cefprofen96,Anti-inflammatory,Prevent infectious disease,Dry mouth,moderate,Pending
Viracillin47,Antibiotic,Bacterial infections,"Dry mouth,Fatigue",mild,Pending
Rivadipine99,Antifungal,Psychosis control,"Insomnia,Headache,Diarrhea",severe,Pending
Serovir17,Antidepressant,Pain relief,"Insomnia,Dizziness",moderate,Rejected
