drug_name,drug_class,indications,side_effects,side_effect_severity,approval_status
Zylozepam34,Analgesic,Fungal infections,"Constipation, Blurred vision",Mild,Approved
Amoxdipine13,Antifungal,Allergy relief,"Dizziness, Insomnia",Moderate,Approved
Rivamab32,Antifungal,Depression treatment,"Diarrhea, Insomnia, Dizziness",Mild,Pending
Serocillin74,Antidepressant,Allergy relief,"Insomnia, Nausea, Dizziness",Severe,Rejected
Serozole62,Antifungal,Depression treatment,"Constipation, Blurred vision, Fatigue",Severe,Pending
Cefcillin14,Antibiotic,Viral infections,"Nausea, Fatigue, Rash",Moderate,Rejected
Fenozepam50,Antidepressant,Allergy relief,Blurred vision,Severe,Pending
Cefzepam45,Vaccine,Allergy relief,Dry mouth,Moderate,Rejected
Viraxetine19,Antipsychotic,Bacterial infections,"Nausea, Blurred vision, Diarrhea",Mild,Pending
Rivavir63,Anti-inflammatory,Pain relief,"Diarrhea, Headache, Nausea",Mild,Approved
Mecodipine19,Antibiotic,Viral infections,"Diarrhea, Blurred vision, Nausea",Moderate,Approved
Serozole59,Antipsychotic,Fungal infections,"Rash, Nausea, Dizziness",Mild,Pending
Serocillin27,Vaccine,Pain relief,"Dry mouth, Dizziness, Constipation",Mild,Approved
Loxovir11,Antipsychotic,Pain relief,"Dizziness, Fatigue",Severe,Approved
Viravir99,Analgesic,Inflammation reduction,"Rash, Fatigue",Mild,Approved
Fenozepam91,Antipyretic,Depression treatment,"Diarrhea, Insomnia, Headache",Mild,Rejected
Amoxzepam33,Vaccine,Bacterial infections,"Constipation, Dizziness, Dry mouth",Moderate,Pending
Amoxvir68,Anti-inflammatory,Prevent infectious disease,Fatigue,Moderate,Pending
Amoxparin13,Vaccine,Inflammation reduction,"Headache, Diarrhea",Mild,Approved
Daxovir24,Antifungal,Psychosis control,Dry mouth,Mild,Approved
Rivaparin10,Antihistamine,Viral infections,"Nausea, Fatigue",Severe,Rejected
Mecostatin40,Antidepressant,Allergy relief,Headache,Mild,Pending
Cefdipine99,Antihistamine,Bacterial infections,Blurred vision,Mild,Approved
Fenocillin39,Antibiotic,Viral infections,Rash,Moderate,Approved
Daxoxetine11,Antipsychotic,Pain relief,"Rash, Constipation, Blurred vision",Mild,Rejected
Fenostatin65,Anti-inflammatory,Allergy relief,Insomnia,Severe,Pending
Rivaxetine79,Antibiotic,Bacterial infections,"Fatigue, Headache",Mild,Rejected
Daxoxetine96,Analgesic,Inflammation reduction,Insomnia,Moderate,Approved
Rivazepam81,Antibiotic,Fever reduction,"Dry mouth, Nausea",Severe,Pending
Loxostatin46,Antipsychotic,Prevent infectious disease,Dizziness,Mild,Pending
Daxocillin70,Analgesic,Pain relief,Fatigue,Severe,Rejected
Daxozepam61,Antihistamine,Fungal infections,"Insomnia, Blurred vision",Severe,Rejected
Rivaprofen24,Antifungal,Prevent infectious disease,Dizziness,Mild,Pending
Mecozole28,Antidepressant,Bacterial infections,Constipation,Moderate,Rejected
Daxoparin72,Antipyretic,Bacterial infections,Constipation,Moderate,Approved
Virazepam82,Antibiotic,Psychosis control,Constipation,Moderate,Rejected
Fenomab68,Antidepressant,Prevent infectious disease,Fatigue,Severe,Rejected
Viraparin39,Vaccine,Pain relief,"Dry mouth, Insomnia, Fatigue",Mild,Approved
Amoxvir93,Antiviral,Fungal infections,Dry mouth,Moderate,Approved
Rivaparin56,Antidepressant,Psychosis control,Rash,Moderate,Rejected
Rivaxetine29,Antifungal,Psychosis control,"Rash, Constipation",Moderate,Approved
Daxoprofen42,Antipyretic,Fungal infections,"Headache, Dry mouth",Mild,Pending
Rivaparin65,Antipyretic,Inflammation reduction,"Dry mouth, Constipation, Insomnia",Moderate,Pending
Virastatin21,Antifungal,Pain relief,"Insomnia, Headache",Moderate,Rejected
Cefcillin20,Antibiotic,Prevent infectious disease,"Diarrhea, Blurred vision, Dry mouth",Mild,Approved
Cefparin47,Antihistamine,Fever reduction,"Fatigue, Rash, Dry mouth",Mild,Pending
Loxovir13,Antiviral,Prevent infectious disease,Nausea,Moderate,Rejected
Seroxetine80,Anti-inflammatory,Viral infections,"Dry mouth, Diarrhea, Rash",Severe,Approved
Daxoparin14,Vaccine,Inflammation reduction,"Insomnia, Dizziness",Mild,Approved
Rivacillin95,Antipsychotic,Fungal infections,Headache,Mild,Approved
Loxocillin65,Vaccine,Pain relief,Dizziness,Mild,Approved
Seroxetine61,Antiviral,Fungal infections,"Headache, Blurred vision, Dry mouth",Moderate,Pending
Amoxzepam72,Antifungal,Pain relief,"Blurred vision, Dry mouth",Moderate,Pending
Daxomab89,Anti-inflammatory,Fungal infections,Diarrhea,Severe,Rejected
Rivavir82,Antibiotic,Bacterial infections,"Fatigue, Rash, Diarrhea",Moderate,Approved
Seromab43,Antidepressant,Pain relief,Blurred vision,Moderate,Approved
Rivazepam28,Antihistamine,Fungal infections,Diarrhea,Severe,Pending
Viracillin42,Antihistamine,Fungal infections,"Fatigue, Diarrhea",Moderate,Rejected
Amoxzole12,Antiviral,Psychosis control,"Insomnia, Nausea, Dry mouth",Moderate,Pending
Viravir93,Antihistamine,Inflammation reduction,"Dry mouth, Fatigue, Dizziness",Mild,Rejected
Loxodipine25,Anti-inflammatory,Depression treatment,Rash,Mild,Rejected
Mecoprofen66,Analgesic,Fever reduction,"Rash, Headache, Diarrhea",Severe,Rejected
Mecodipine47,Antibiotic,Pain relief,"Dry mouth, Headache",Moderate,Pending
Seroxetine76,Antipsychotic,Pain relief,Dry mouth,Severe,Pending
Fenoxetine25,Antipyretic,Viral infections,Headache,Severe,Approved
Mecozepam73,Anti-inflammatory,Pain relief,Headache,Mild,Rejected
Amoxxetine51,Antidepressant,Bacterial infections,Constipation,Mild,Approved
Amoxcillin68,Antidepressant,Bacterial infections,"Nausea, Blurred vision",Severe,Rejected
Serozepam56,Antifungal,Inflammation reduction,"Nausea, Constipation, Headache",Moderate,Pending
Mecozepam53,Antibiotic,Fungal infections,"Rash, Headache, Diarrhea",Mild,Pending
Cefxetine39,Antipsychotic,Viral infections,"Constipation, Dry mouth, Dizziness",Severe,Pending
Seroparin13,Antifungal,Fungal infections,Rash,Mild,Pending
Cefprofen72,Antipsychotic,Psychosis control,"Blurred vision, Nausea",Moderate,Approved
Serostatin81,Antiviral,Inflammation reduction,"Blurred vision, Dizziness, Nausea",Severe,Approved
Amoxvir92,Analgesic,Prevent infectious disease,Blurred vision,Mild,Pending
Rivaxetine25,Antipyretic,Psychosis control,"Fatigue, Diarrhea",Mild,Approved
Cefcillin28,Antifungal,Viral infections,Dry mouth,Mild,Pending
Amoxmab95,Anti-inflammatory,Fever reduction,"Rash, Nausea, Constipation",Mild,Rejected
Zylovir65,Antidepressant,Prevent infectious disease,"Nausea, Blurred vision",Severe,Pending
Cefzepam59,Vaccine,Viral infections,Fatigue,Mild,Pending
Rivazole96,Antiviral,Fungal infections,Nausea,Mild,Pending
Cefparin26,Antiviral,Bacterial infections,"Headache, Nausea, Rash",Moderate,Approved
Daxozole19,Vaccine,Depression treatment,Nausea,Mild,Pending
Mecoprofen82,Anti-inflammatory,Depression treatment,Constipation,Moderate,Approved
Daxozole45,Antibiotic,Pain relief,"Diarrhea, Constipation, Blurred vision",Moderate,Rejected
Rivazepam60,Antipsychotic,Depression treatment,"Diarrhea, Rash",Moderate,Rejected
Rivaxetine80,Antipyretic,Depression treatment,"Diarrhea, Constipation",Moderate,Approved
Mecostatin56,Antipyretic,Viral infections,Blurred vision,Mild,Pending
Loxovir33,Antibiotic,Fever reduction,"Rash, Insomnia, Dizziness",Mild,Approved
Daxoxetine25,Antipyretic,Psychosis control,Fatigue,Mild,Approved
Zylozepam11,Antifungal,Viral infections,"Diarrhea, Dizziness, Constipation",Moderate,Rejected
Loxovir74,Vaccine,Bacterial infections,"Nausea, Rash, Constipation",Severe,Approved
Daxoprofen78,Analgesic,Allergy relief,Nausea,Mild,Pending
Mecocillin74,Analgesic,Viral infections,"Dry mouth, Dizziness",Moderate,Approved
Rivavir90,Antibiotic,Viral infections,"Rash, Nausea",Mild,Rejected
Viraparin59,Antifungal,Viral infections,"Insomnia, Headache, Diarrhea",Severe,Rejected
Seroparin65,Antiviral,Viral infections,Diarrhea,Moderate,Rejected
Amoxparin34,Antihistamine,Depression treatment,"Constipation, Dizziness",Severe,Pending
Amoxprofen11,Antidepressant,Inflammation reduction,Blurred vision,Moderate,Pending
Loxomab75,Antipsychotic,Inflammation reduction,"Fatigue, Blurred vision, Rash",Moderate,Pending
Amoxxetine90,Antipyretic,Fungal infections,Diarrhea,Mild,Approved
Cefparin36,Antiviral,Bacterial infections,Dizziness,Moderate,Pending
Serocillin78,Analgesic,Inflammation reduction,"Diarrhea, Blurred vision",Severe,Rejected
Fenocillin55,Antidepressant,Prevent infectious disease,"Dry mouth, Insomnia",Mild,Pending
Fenodipine73,Antiviral,Viral infections,"Rash, Headache, Blurred vision",Moderate,Pending
Mecocillin92,Antifungal,Fungal infections,"Dry mouth, Rash",Mild,Approved
Rivavir37,Anti-inflammatory,Pain relief,Rash,Moderate,Approved
Zylozepam43,Antifungal,Psychosis control,"Insomnia, Dizziness, Rash",Severe,Pending
Serostatin53,Antipsychotic,Fungal infections,"Dry mouth, Insomnia",Severe,Approved
Loxodipine47,Vaccine,Psychosis control,Rash,Severe,Rejected
Daxovir41,Antipsychotic,Inflammation reduction,"Nausea, Insomnia",Severe,Approved
Loxodipine83,Analgesic,Inflammation reduction,Dry mouth,Moderate,Approved
Zylocillin21,Vaccine,Viral infections,"Dizziness, Dry mouth, Nausea",Mild,Approved
Serocillin30,Anti-inflammatory,Allergy relief,"Headache, Constipation, Rash",Mild,Approved
Viramab94,Antidepressant,Pain relief,"Headache, Blurred vision",Moderate,Rejected
Zylovir49,Antidepressant,Bacterial infections,"Blurred vision, Dizziness, Nausea",Mild,Rejected
Serodipine22,Vaccine,Prevent infectious disease,Diarrhea,Moderate,Approved
Mecodipine45,Antipyretic,Bacterial infections,Headache,Mild,Approved
Rivadipine65,Analgesic,Allergy relief,"Dizziness, Rash, Fatigue",Mild,Pending
Cefcillin84,Analgesic,Viral infections,"Dizziness, Headache",Severe,Pending
Rivadipine53,Antiviral,Prevent infectious disease,"Constipation, Diarrhea, Insomnia",Moderate,Rejected
Virazole78,Antiviral,Viral infections,Diarrhea,Moderate,Rejected
Loxoxetine52,Antidepressant,Allergy relief,Fatigue,Moderate,Rejected
Rivadipine66,Antiviral,Allergy relief,"Rash, Dizziness",Moderate,Pending
Cefxetine80,Vaccine,Prevent infectious disease,"Rash, Dizziness",Moderate,Approved
Daxocillin78,Antipyretic,Allergy relief,"Blurred vision, Insomnia, Dry mouth",Severe,Pending
Virastatin59,Antipsychotic,Viral infections,Diarrhea,Severe,Rejected
Seromab81,Antipsychotic,Depression treatment,"Dizziness, Dry mouth, Headache",Severe,Approved
Viraxetine49,Antipyretic,Depression treatment,Headache,Moderate,Approved
Rivazepam15,Antiviral,Psychosis control,"Constipation, Headache, Fatigue",Severe,Pending
Rivavir97,Vaccine,Bacterial infections,Headache,Moderate,Pending
Amoxxetine63,Antidepressant,Inflammation reduction,Headache,Mild,Approved
Amoxparin59,Antipsychotic,Bacterial infections,"Constipation, Headache",Moderate,Pending
Amoxprofen96,Antibiotic,Inflammation reduction,"Nausea, Dizziness",Moderate,Approved
Serodipine67,Anti-inflammatory,Psychosis control,Insomnia,Severe,Approved
Amoxmab12,Antifungal,Allergy relief,Blurred vision,Mild,Rejected
Cefstatin83,Vaccine,Inflammation reduction,"Dizziness, Dry mouth",Mild,Approved
Fenoprofen20,Antiviral,Viral infections,Blurred vision,Moderate,Rejected
Seroxetine74,Anti-inflammatory,Depression treatment,"Dry mouth, Nausea, Constipation",Moderate,Rejected
Zyloparin27,Analgesic,Depression treatment,"Dizziness, Rash, Dry mouth",Moderate,Pending
Daxovir47,Analgesic,Allergy relief,Blurred vision,Mild,Pending
Cefzepam18,Vaccine,Viral infections,"Rash, Dry mouth",Moderate,Rejected
Mecodipine13,Antipsychotic,Psychosis control,Diarrhea,Severe,Approved
Mecoprofen87,Antipsychotic,Allergy relief,"Fatigue, Diarrhea, Dry mouth",Severe,Approved
Rivazole45,Antihistamine,Fungal infections,Nausea,Mild,Rejected
Mecostatin29,Anti-inflammatory,Fever reduction,"Dry mouth, Headache, Blurred vision",Mild,Rejected
Viraxetine93,Antifungal,Inflammation reduction,"Constipation, Dry mouth, Headache",Moderate,Approved
Rivamab76,Antihistamine,Depression treatment,"Rash, Fatigue, Insomnia",Moderate,Approved
Daxostatin16,Antipyretic,Inflammation reduction,Headache,Severe,Approved
Zyloprofen49,Antidepressant,Inflammation reduction,"Fatigue, Insomnia",Mild,Approved
Fenodipine30,Antihistamine,Depression treatment,"Dizziness, Blurred vision, Nausea",Severe,Rejected
Rivastatin62,Analgesic,Viral infections,"Headache, Dizziness",Mild,Pending
Fenocillin17,Antipsychotic,Inflammation reduction,"Diarrhea, Constipation, Rash",Severe,Rejected
Viracillin74,Antidepressant,Fever reduction,"Rash, Headache, Insomnia",Moderate,Rejected
Viramab48,Anti-inflammatory,Fungal infections,Rash,Moderate,Pending
Virazole10,Anti-inflammatory,Viral infections,Constipation,Mild,Approved
Fenozole11,Vaccine,Psychosis control,Insomnia,Mild,Approved
Fenoprofen96,Antibiotic,Prevent infectious disease,"Blurred vision, Insomnia, Fatigue",Mild,Approved
Zylozepam70,Antihistamine,Psychosis control,Constipation,Mild,Pending
Fenozole34,Anti-inflammatory,Bacterial infections,"Nausea, Blurred vision",Mild,Approved
Amoxprofen51,Antidepressant,Inflammation reduction,"Headache, Fatigue",Moderate,Pending
Viraxetine23,Antidepressant,Pain relief,"Fatigue, Diarrhea",Severe,Rejected
Cefcillin77,Antihistamine,Pain relief,"Diarrhea, Nausea, Blurred vision",Severe,Pending
Amoxmab86,Antiviral,Pain relief,"Dizziness, Constipation, Fatigue",Severe,Pending
Virazepam11,Vaccine,Inflammation reduction,"Fatigue, Constipation, Rash",Moderate,Rejected
Loxomab50,Anti-inflammatory,Viral infections,"Insomnia, Fatigue, Nausea",Severe,Approved
Mecodipine38,Antihistamine,Fever reduction,"Fatigue, Nausea",Severe,Rejected
Mecodipine85,Anti-inflammatory,Prevent infectious disease,"Fatigue, Constipation, Diarrhea",Moderate,Rejected
Daxomab50,Antiviral,Fungal infections,"Blurred vision, Dry mouth, Insomnia",Mild,Rejected
Cefparin99,Antidepressant,Pain relief,"Insomnia, Fatigue",Mild,Rejected
Zylovir34,Antihistamine,Prevent infectious disease,"Nausea, Blurred vision",Mild,Pending
Mecocillin79,Antipyretic,Fungal infections,Constipation,Moderate,Rejected
Viraprofen58,Antiviral,Allergy relief,"Insomnia, Constipation",Severe,Pending
Seromab41,Antihistamine,Psychosis control,Insomnia,Moderate,Rejected
Zylocillin95,Anti-inflammatory,Fungal infections,"Headache, Dry mouth, Blurred vision",Severe,Pending
Cefvir18,Antiviral,Inflammation reduction,"Dizziness, Dry mouth",Moderate,Pending
Virazepam13,Vaccine,Viral infections,"Dry mouth, Constipation",Moderate,Rejected
Mecocillin28,Antihistamine,Fungal infections,Diarrhea,Mild,Rejected
Cefstatin14,Antipsychotic,Bacterial infections,"Dry mouth, Nausea, Fatigue",Mild,Pending
Fenocillin66,Antidepressant,Depression treatment,"Insomnia, Fatigue",Moderate,Pending
Daxoxetine14,Analgesic,Prevent infectious disease,"Fatigue, Dry mouth",Moderate,Rejected
Seroparin54,Antipyretic,Depression treatment,"Rash, Diarrhea",Mild,Rejected
Zyloprofen51,Analgesic,Fever reduction,"Insomnia, Constipation",Mild,Pending
Virastatin58,Antiviral,Depression treatment,"Rash, Constipation, Headache",Mild,Approved
Loxoparin46,Antidepressant,Depression treatment,Headache,Moderate,Rejected
Fenoxetine54,Antifungal,Fungal infections,"Dizziness, Nausea, Insomnia",Severe,Pending
Cefmab70,Antiviral,Viral infections,"Nausea, Rash",Severe,Approved
Loxozole36,Vaccine,Depression treatment,"Dry mouth, Fatigue",Severe,Pending
Rivamab24,Antifungal,Depression treatment,"Rash, Constipation, Fatigue",Mild,Approved
Daxozepam71,Antihistamine,Allergy relief,"Headache, Blurred vision, Nausea",Severe,Approved
Fenovir49,Analgesic,Fungal infections,"Headache, Fatigue",Mild,Approved
Mecoxetine61,Antihistamine,Pain relief,"Dizziness, Nausea, Blurred vision",Severe,Approved
Amoxzole29,Antihistamine,Pain relief,"Fatigue, Nausea",Mild,Rejected
Amoxparin89,Antipsychotic,Prevent infectious disease,"Rash, Dizziness",Mild,Approved
Fenocillin45,Antiviral,Inflammation reduction,Headache,Mild,Pending
Cefvir69,Antibiotic,Depression treatment,Dry mouth,Mild,Approved
Rivadipine41,Antidepressant,Pain relief,Diarrhea,Moderate,Rejected
Rivaparin92,Antiviral,Pain relief,"Dizziness, Blurred vision",Mild,Approved
Serovir89,Antifungal,Prevent infectious disease,"Dry mouth, Diarrhea, Blurred vision",Moderate,Approved
Amoxdipine80,Vaccine,Depression treatment,Insomnia,Mild,Rejected
Rivacillin75,Antipyretic,Pain relief,"Headache, Blurred vision",Severe,Rejected
Zylozole89,Antihistamine,Psychosis control,"Fatigue, Dizziness",Moderate,Rejected
Cefmab21,Antibiotic,Inflammation reduction,"Dizziness, Constipation, Nausea",Mild,Rejected
Zylozole82,Antipsychotic,Pain relief,Rash,Severe,Approved
Daxozole29,Antipyretic,Bacterial infections,"Blurred vision, Fatigue",Mild,Pending
Viraxetine58,Vaccine,Psychosis control,Fatigue,Moderate,Approved
Mecomab65,Analgesic,Pain relief,"Constipation, Insomnia, Nausea",Severe,Pending
Zyloparin37,Antidepressant,Pain relief,"Fatigue, Constipation",Severe,Pending
Serovir59,Vaccine,Depression treatment,Nausea,Severe,Pending
